# Matter power spectrum P(k) at redshift z=1000
# for k=1.0154e-05 to 101.644 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.015401983828e-05       4.428518041605e-05 
       1.278315360628e-05       5.526475626781e-05 
       1.609303691781e-05       6.896649931956e-05 
       2.025993312878e-05       8.606529368165e-05 
       2.550574465707e-05       1.074033116718e-04 
       3.210983009551e-05       1.340317573713e-04 
       4.042388107564e-05       1.672620244072e-04 
       5.089065112946e-05       2.087310301407e-04 
       6.406753392963e-05       2.604812258688e-04 
       8.065624653500e-05       3.250613725250e-04 
       1.015401983828e-04       4.056523070617e-04 
       1.278315360628e-04       5.062221990903e-04 
       1.609303691781e-04       6.317244777158e-04 
       2.025993312878e-04       7.883370219343e-04 
       2.550574465707e-04       9.837676480309e-04 
       3.210983009551e-04       1.227630295297e-03 
       4.042388107564e-04       1.531913266367e-03 
       5.089065112946e-04       1.911555273877e-03 
       6.406753392963e-04       2.385161307466e-03 
       8.065624653500e-04       2.975871094146e-03 
       1.015401983828e-03       3.712407804455e-03 
       1.278315360628e-03       4.630314162721e-03 
       1.609303691781e-03       5.775492919340e-03 
       2.025993312878e-03       7.198276020555e-03 
       2.550574465707e-03       8.963604821610e-03 
       3.210983009551e-03       1.114744611127e-02 
       4.042388107564e-03       1.383539900241e-02 
       5.089065112946e-03       1.711696377305e-02 
       6.406753392963e-03       2.107106044827e-02 
       8.065624653500e-03       2.573495480432e-02 
       1.015401983828e-02       3.104637029626e-02 
       1.278315360628e-02       3.674563751505e-02 
       1.609303691778e-02       4.224015945531e-02 
       2.025993292719e-02       4.648775709294e-02 
       2.550559966977e-02       4.807953571063e-02 
       3.209066852635e-02       4.584202910731e-02 
       3.981230724561e-02       4.040712614282e-02 
       4.624923861719e-02       3.565483781657e-02 
       5.093112403392e-02       3.264384396604e-02 
       5.480372407806e-02       3.052667659993e-02 
       5.826694613533e-02       2.890767757676e-02 
       6.149999274718e-02       2.759664018123e-02 
       6.459809754936e-02       2.648408969615e-02 
       6.761852858106e-02       2.549834646679e-02 
       7.059898501864e-02       2.458840420648e-02 
       7.356608175503e-02       2.371639383355e-02 
       7.653970376470e-02       2.285421261036e-02 
       7.953543053482e-02       2.198209756037e-02 
       8.256597490356e-02       2.108800198968e-02 
       8.564208178003e-02       2.016733056943e-02 
       8.877311339515e-02       1.922252436101e-02 
       9.196744373823e-02       1.826235445735e-02 
       9.523273204954e-02       1.730071414228e-02 
       9.857611693405e-02       1.635492456243e-02 
       1.020043567623e-01       1.544358156572e-02 
       1.055239327340e-01       1.458434397354e-02 
       1.091411253659e-01       1.379150933018e-02 
       1.128620716726e-01       1.307415759594e-02 
       1.166928080868e-01       1.243466545271e-02 
       1.206393027213e-01       1.186804322912e-02 
       1.247074796262e-01       1.136224090769e-02 
       1.289032370613e-01       1.089945949042e-02 
       1.332324613868e-01       1.045865875355e-02 
       1.377010378943e-01       1.001905588776e-02 
       1.423148597150e-01       9.564226597798e-03 
       1.470798358263e-01       9.085838351920e-03 
       1.520018990993e-01       8.585932377952e-03 
       1.570870152829e-01       8.076669808876e-03 
       1.623411937920e-01       7.577169463529e-03 
       1.677705011465e-01       7.108088943231e-03 
       1.733810778960e-01       6.685459832120e-03 
       1.791791598578e-01       6.315744269672e-03 
       1.851711044897e-01       5.993688163810e-03 
       1.913634232246e-01       5.703945402857e-03 
       1.977628206050e-01       5.426371351426e-03 
       2.043762410885e-01       5.143625187907e-03 
       2.112109244544e-01       4.848226913345e-03 
       2.182744708321e-01       4.545453740731e-03 
       2.255749165210e-01       4.250141803959e-03 
       2.331208219808e-01       3.978506278683e-03 
       2.409213736682e-01       3.739393601281e-03 
       2.489865018046e-01       3.529780183135e-03 
       2.573270167084e-01       3.337117484728e-03 
       2.659547670569e-01       3.147347741442e-03 
       2.748828244136e-01       2.953791664816e-03 
       2.841256996365e-01       2.760664058800e-03 
       2.936995984816e-01       2.578387701039e-03 
       3.036227259765e-01       2.414454524126e-03 
       3.139156521774e-01       2.267476276993e-03 
       3.246017560401e-01       2.129274383273e-03 
       3.357077697945e-01       1.992852546093e-03 
       3.472644540748e-01       1.858428848180e-03 
       3.593074451652e-01       1.731496203567e-03 
       3.718783316394e-01       1.615485996000e-03 
       3.850260408998e-01       1.507824837152e-03 
       3.988086506300e-01       1.403840432283e-03 
       4.132957925122e-01       1.302764179049e-03 
       4.285718966965e-01       1.207368697854e-03 
       4.447406544321e-01       1.118436562004e-03 
       4.619312867506e-01       1.033462911263e-03 
       4.803075613122e-01       9.512663237880e-04 
       5.000811162844e-01       8.730847556285e-04 
       5.215317660309e-01       7.985505225446e-04 
       5.450395722305e-01       7.262664085238e-04 
       5.711376514187e-01       6.564494384863e-04 
       6.006034852978e-01       5.884684207029e-04 
       6.346261810757e-01       5.215615566974e-04 
       6.751343113124e-01       4.550538733570e-04 
       7.254899397342e-01       3.878334683230e-04 
       7.920758205800e-01       3.185152897291e-04 
       8.880423181077e-01       2.457745431635e-04 
       1.040125179534e+00       1.709209841638e-04 
       1.281574329497e+00       1.049493643896e-04 
       1.610978014536e+00       6.091077849253e-05 
       2.028057034517e+00       3.490576891586e-05 
       2.553172381318e+00       1.983700709777e-05 
       3.214253591456e+00       1.118903463513e-05 
       4.046505526234e+00       6.268299684907e-06 
       5.094248635942e+00       3.490007672118e-06 
       6.413279061785e+00       1.932132052661e-06 
       8.073839983808e+00       1.064144514863e-06 
       1.016436232638e+01       5.833193679107e-07 
       1.279617402736e+01       3.183581885253e-07 
       1.610942865678e+01       1.730535308886e-07 
       2.028056910551e+01       9.371935245898e-08 
       2.553172381257e+01       5.058036438722e-08 
       3.214253591456e+01       2.721169781025e-08 
       4.046505526234e+01       1.459610972573e-08 
       5.094248635942e+01       7.807575183801e-09 
       6.413279061785e+01       4.165568492372e-09 
       8.073839983808e+01       2.217092324227e-09 
       1.016436232638e+02       1.177372952931e-09 
