#           k/h    P           
    0.10213E-04    0.31381E-04
    0.11278E-04    0.34515E-04
    0.12454E-04    0.37963E-04
    0.13753E-04    0.41755E-04
    0.15187E-04    0.45926E-04
    0.16770E-04    0.50513E-04
    0.18518E-04    0.55559E-04
    0.20449E-04    0.61109E-04
    0.22581E-04    0.67213E-04
    0.24935E-04    0.73926E-04
    0.27535E-04    0.81311E-04
    0.30406E-04    0.89433E-04
    0.33576E-04    0.98366E-04
    0.37077E-04    0.10819E-03
    0.40942E-04    0.11900E-03
    0.45211E-04    0.13089E-03
    0.49925E-04    0.14396E-03
    0.55130E-04    0.15834E-03
    0.60878E-04    0.17415E-03
    0.67225E-04    0.19155E-03
    0.74234E-04    0.21068E-03
    0.81973E-04    0.23173E-03
    0.90520E-04    0.25488E-03
    0.99958E-04    0.28033E-03
    0.11038E-03    0.30834E-03
    0.12189E-03    0.33913E-03
    0.13460E-03    0.37301E-03
    0.14863E-03    0.41026E-03
    0.16412E-03    0.45124E-03
    0.18124E-03    0.49631E-03
    0.20013E-03    0.54589E-03
    0.22100E-03    0.60041E-03
    0.24404E-03    0.66038E-03
    0.26948E-03    0.72633E-03
    0.29758E-03    0.79887E-03
    0.32860E-03    0.87865E-03
    0.36286E-03    0.96639E-03
    0.40070E-03    0.10629E-02
    0.44247E-03    0.11690E-02
    0.48861E-03    0.12857E-02
    0.53955E-03    0.14141E-02
    0.59580E-03    0.15553E-02
    0.65792E-03    0.17105E-02
    0.72651E-03    0.18812E-02
    0.80226E-03    0.20688E-02
    0.88590E-03    0.22752E-02
    0.97827E-03    0.25020E-02
    0.10803E-02    0.27514E-02
    0.11929E-02    0.30254E-02
    0.13173E-02    0.33266E-02
    0.14546E-02    0.36576E-02
    0.16063E-02    0.40211E-02
    0.17737E-02    0.44203E-02
    0.19587E-02    0.48586E-02
    0.21629E-02    0.53395E-02
    0.23884E-02    0.58670E-02
    0.26374E-02    0.64451E-02
    0.29123E-02    0.70784E-02
    0.32160E-02    0.77713E-02
    0.35513E-02    0.85287E-02
    0.39215E-02    0.93554E-02
    0.43304E-02    0.10256E-01
    0.47819E-02    0.11236E-01
    0.52805E-02    0.12298E-01
    0.58310E-02    0.13447E-01
    0.64389E-02    0.14684E-01
    0.71103E-02    0.16011E-01
    0.78516E-02    0.17424E-01
    0.86702E-02    0.18920E-01
    0.95741E-02    0.20487E-01
    0.10572E-01    0.22112E-01
    0.11675E-01    0.23772E-01
    0.12892E-01    0.25437E-01
    0.14236E-01    0.27067E-01
    0.15720E-01    0.28612E-01
    0.17359E-01    0.30012E-01
    0.19169E-01    0.31198E-01
    0.21168E-01    0.32098E-01
    0.23375E-01    0.32638E-01
    0.25812E-01    0.32758E-01
    0.28503E-01    0.32415E-01
    0.31474E-01    0.31599E-01
    0.34756E-01    0.30337E-01
    0.38380E-01    0.28695E-01
    0.42381E-01    0.26776E-01
    0.46619E-01    0.24789E-01
    0.50857E-01    0.22955E-01
    0.55095E-01    0.21328E-01
    0.59333E-01    0.19924E-01
    0.63571E-01    0.18731E-01
    0.67810E-01    0.17717E-01
    0.72048E-01    0.16834E-01
    0.76286E-01    0.16038E-01
    0.80524E-01    0.15271E-01
    0.84762E-01    0.14500E-01
    0.89000E-01    0.13706E-01
