# Matter power spectrum P(k) at redshift z=1000
# for k=1.0154e-05 to 1.04013 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.015402036686e-05       6.792741088036e+07 
       1.278315427172e-05       3.374641813554e+07 
       1.609303775555e-05       1.676553763235e+07 
       2.025993418343e-05       8.329318948892e+06 
       2.550574598479e-05       4.138086610398e+06 
       3.210983176702e-05       2.055840134005e+06 
       4.042388317994e-05       1.021396998123e+06 
       5.089065377862e-05       5.074390884830e+05 
       6.406753726473e-05       2.521065335760e+05 
       8.065625073363e-05       1.252548513873e+05 
       1.015402036686e-04       6.223175185023e+04 
       1.278315427172e-04       3.091994739570e+04 
       1.609303775555e-04       1.536339291269e+04 
       2.025993418343e-04       7.634306764341e+03 
       2.550574598479e-04       3.794095428845e+03 
       3.210983176702e-04       1.885971196404e+03 
       4.042388317994e-04       9.377724658421e+02 
       5.089065377862e-04       4.665295609859e+02 
       6.406753726473e-04       2.322768042268e+02 
       8.065625073363e-04       1.157920560271e+02 
       1.015402036686e-03       5.783789432790e+01 
       1.278315427172e-03       2.898032400260e+01 
       1.609303775555e-03       1.458273223886e+01 
       2.025993418343e-03       7.398130278716e+00 
       2.550574598479e-03       3.798325987298e+00 
       3.210983176702e-03       1.985601615014e+00 
       4.042388317994e-03       1.066251035347e+00 
       5.089065377862e-03       5.952235008709e-01 
       6.406753726473e-03       3.505317427494e-01 
       8.065625073363e-03       2.211657948627e-01 
       1.015402036686e-02       1.513478758203e-01 
       1.278315427172e-02       1.127393801112e-01 
       1.609303775551e-02       9.054934647535e-02 
       2.025993398183e-02       7.658358131370e-02 
       2.550560099585e-02       6.591053450925e-02 
       3.209067004053e-02       5.567599616507e-02 
       3.981230609220e-02       4.571956661569e-02 
       4.624922995849e-02       3.911181289776e-02 
       5.093111095260e-02       3.530157803519e-02 
       5.480370819255e-02       3.272179931914e-02 
       5.826692814628e-02       3.078479329767e-02 
       6.149997301411e-02       2.923093654956e-02 
       6.459807627942e-02       2.791960040606e-02 
       6.761850590221e-02       2.676323297854e-02 
       7.059896101288e-02       2.570224444601e-02 
       7.356605647535e-02       2.469411736782e-02 
       7.653967724459e-02       2.370837092295e-02 
       7.953540279389e-02       2.272420859803e-02 
       8.256594595106e-02       2.172929719856e-02 
       8.564205161725e-02       2.071911546948e-02 
       8.877308201694e-02       1.969622380273e-02 
       9.196741113413e-02       1.866934693001e-02 
       9.523269820454e-02       1.765201075598e-02 
       9.857608182919e-02       1.666079254230e-02 
       1.020043203750e-01       1.571318627704e-02 
       1.055238950385e-01       1.482538598856e-02 
       1.091410863334e-01       1.401006830621e-02 
       1.128620312713e-01       1.327459543733e-02 
       1.166927662823e-01       1.261969859972e-02 
       1.206392594765e-01       1.203896710436e-02 
       1.247074349014e-01       1.151923530463e-02 
       1.289031908140e-01       1.104201128995e-02 
       1.332324135724e-01       1.058605280206e-02 
       1.377009884653e-01       1.013084985940e-02 
       1.423148086217e-01       9.660630540603e-03 
       1.470797830164e-01       9.167913784938e-03 
       1.520018445179e-01       8.655557005848e-03 
       1.570869588728e-01       8.136250350321e-03 
       1.623411354935e-01       7.629218430814e-03 
       1.677704408973e-01       7.154757615470e-03 
       1.733810156316e-01       6.728234596867e-03 
       1.791790955110e-01       6.355308018619e-03 
       1.851710379911e-01       6.030037265774e-03 
       1.913633545023e-01       5.736675942937e-03 
       1.977627495845e-01       5.455046692071e-03 
       2.043761676931e-01       5.168146333020e-03 
       2.112108486049e-01       4.868952443811e-03 
       2.182743924469e-01       4.563136266632e-03 
       2.255748355160e-01       4.265639838074e-03 
       2.331207382695e-01       3.992481890466e-03 
       2.409212871615e-01       3.752153670940e-03 
       2.489864124111e-01       3.541310884158e-03 
       2.573269243337e-01       3.347273788341e-03 
       2.659546716041e-01       3.156077005663e-03 
       2.748827257829e-01       2.961243622447e-03 
       2.841255977251e-01       2.767122968696e-03 
       2.936994931837e-01       2.584119720095e-03 
       3.036226171831e-01       2.419594716194e-03 
       3.139155397758e-01       2.272037025690e-03 
       3.246016399142e-01       2.133246934491e-03 
       3.357076498242e-01       1.996273956669e-03 
       3.472643301363e-01       1.861401337090e-03 
       3.593073171303e-01       1.734113994990e-03 
       3.718781993762e-01       1.617796633245e-03 
       3.850259042722e-01       1.509837866259e-03 
       3.988085094984e-01       1.405580956031e-03 
       4.132956467344e-01       1.304273434875e-03 
       4.285717461291e-01       1.208684830039e-03 
       4.447404989332e-01       1.119579577426e-03 
       4.619311261843e-01       1.034448991247e-03 
       4.803073955565e-01       9.521142589993e-04 
       5.000809452446e-01       8.738154808504e-04 
       5.215315896625e-01       7.991747821038e-04 
       5.450393905806e-01       7.267975709742e-04 
       5.711374647022e-01       6.568993601000e-04 
       6.006032940433e-01       5.888463013651e-04 
       6.346259864221e-01       5.218769073988e-04 
       6.751341156498e-01       4.553118116658e-04 
       7.254897481890e-01       3.880397070028e-04 
       7.920756446574e-01       3.186757278181e-04 
       8.880421841601e-01       2.458925584562e-04 
       1.040125136079e+00       1.710046002367e-04 
